name_of_books,author,customer_ratings,Price
"Educart PRAYAS CBSE Class 10 Chapterwise Most Important Qs (& PYQs) - Maths, Science, SST and English for February 2025 Boards",Prashant Kirad,4.6,489.0
"Too Good to Be True : A smart, funny will-they-won’t-they romance",Prajakta Koli,4.7,267.0
Lena Voss,Oswaal CBSE 25 Combined Sample Question papers Class 10 Books Science Mathematics Standard Social Science English Language and Literature Hindi-A (For 2025 Exam),4.7,1514.0
Oswaal Editorial Board,"Educart PRAYAS CBSE Class 12 Chapterwise Most Important Qs (& PYQs) - Accountancy, Business Studies, Economics and English Core for February 2025 Boards",5.0,406.0
Educart,My First Library: Boxset of 10 Board Books for Kids,4.5,499.0
Wonder House Books,The Psychology of Money [Paperback] Morgan Housel,4.6,399.0
Morgan Housel,Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,4.4,316.0
Thibaut Meurisse,Atomic Habits,4.6,199.0
James Clear,Don't Believe Everything You Think (English),4.5,460.0
Joseph Nguyen,Amma Diarylo Konni Pageelu,4.7,164.0
Ravi Mantri,"The Art of Being Alone: Loneliness Was My Cage, Solitude Is My Home (English)",4.4,220.0
Renuka Gavrani,White Nights,4.5,189.0
Fyodor Dostoyevsky,My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),4.4,124.0
Wonder House Books,PW SKC Physics Crush Class 12 Handwritten Format Notes By Saleem Sir For JEE and NEET Exams | A Beautiful Journey From Basic to JEE Advanced via JEE/ NEET,5.0,129.0
Saleem Ahmed,The Satvic Revolution: 7 Life-Changing Habits to Discover Peak Health and Joy,4.8,439.0
Subah Saraf,Ikigai: Japanese secret to long and happy life,4.6,308.0
"Francesc García, Héctor,Miralles","PW NTA NEET Rankers Test Series 2025 Verified & Curated by Expert Faculties | 10 Full Syllabus + 4 Part Syllabus (Class 11 & 12) | OMR Sheet, Solution Booklet with NCERT References",4.8,322.0
Physics Wallah (PW),"Educart CBSE Class 10 Most Likely Sets of Sample Papers - Science, Maths Standard, Social Science & English (with Answer Writing Sheets 2024-25)",4.6,594.0
Prashant Kirad,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,4.5,494.0
Wonder House Books,The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery (English),4.4,199.0
Brianna Wiest,"The Art of Letting Go: Move Beyond the Hurt, Find Emotional Freedom and Restore Your Inner Peace",4.4,245.0
Nick Trenton,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) : Perfect Motivational Gift Set,4.5,159.0
Dale Carnegie,The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,4.5,349.0
Joseph Murphy,"Moral Story Books for Kids (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers (Set of 10 Books)",4.5,148.0
Maple Press,Bhagvad Gita As It Is English New Edition,4.8,227.0
A. C. Bhaktivedanta Swami Prabhupad,Rupesh Thakur Prasad Panchang 2025 /Thakur Prasad Medium Colorful Hindi Panchang Calendar 2025,4.5,296.0
Rupesh Thakur,Shrimad Bhagwat Geeta Yatharoop (Hindi),4.8,70.0
A.C. Bhaktivendanta Swami Prabhupada,Indian Polity for UPSC (English) by M Laxmikanth | 7th Edition (Latest) | Civil Services Exam- Prelims and Mains 2025 | State PSCs civil services exams/PCS exams,4.6,220.0
M Laxmikanth,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,4.5,775.0
